experiment_id,model,feature_set,tail,n_forecasts,n_violations,expected_violations,failure_rate,kupiec_lr,kupiec_pvalue,christoffersen_ind_lr,christoffersen_ind_pvalue,conditional_coverage_lr,conditional_coverage_pvalue,dq_stat,dq_pvalue,mean_pinball,crossing_rate,n_runs,max_run
final-M2-F2-w1500-s42,M2,F2,0.01,2640,57,26.400000000000002,0.02159090909090909,26.90401826697112,2.13813883434319e-07,1.9209379295984945,0.16575330042999248,28.824956196569616,5.504784111889598e-07,19.735315989901075,0.0030862719533157335,0.0004533309637881859,0.031818181818181815,54,2
final-M2-F2-w1500-s42,M2,F2,0.05,2640,160,132.0,0.06060606060606061,5.8727751820206535,0.015376792735782232,8.158988177253832,0.004284826983847272,14.031763359274485,0.0008975141428846573,17.396514841728028,0.007931315743716687,0.0013196764735025478,0.031818181818181815,141,3
final-M2-F2-w1500-s42,M2,F2,0.1,2640,296,264.0,0.11212121212121212,4.1638522621805265,0.041295382319060936,1.6833120662190595,0.19448493752972681,5.847164328399586,0.05374083359958046,7.311288725874476,0.2930161740609071,0.0020701355120376543,0.031818181818181815,256,4
final-M2-F3-w1500-s42,M2,F3,0.01,2640,57,26.400000000000002,0.02159090909090909,26.90401826697112,2.13813883434319e-07,4.171713729720977,0.04110420382963286,31.0757319966921,1.7864486462430376e-07,23.92419816970694,0.0005392923151705012,0.0005199378773741334,0.053409090909090906,53,2
final-M2-F3-w1500-s42,M2,F3,0.05,2640,161,132.0,0.06098484848484848,6.2866133922216605,0.012165328220630803,9.534389346380749,0.0020165725726930925,15.82100273860241,0.0003668705968222831,13.91084939064715,0.030648035231773434,0.0013329402573576726,0.053409090909090906,141,4
final-M2-F3-w1500-s42,M2,F3,0.1,2640,297,264.0,0.1125,4.423593286260356,0.03544531899450024,2.6320256355870697,0.10472802533252784,7.055618921847426,0.029369179790995795,12.538761315015874,0.05097403932530445,0.0020790532617353612,0.053409090909090906,255,4
final-M3-F0-w1500-s42,M3,F0,0.01,2640,22,26.400000000000002,0.008333333333333333,0.7852547551748259,0.375538851291233,11.898711442014957,0.0005617278957670093,12.683966197189783,0.0017608069184734676,430.14998151877603,9.168676088429908e-90,0.0018314584688728728,0.0,19,2
final-M3-F0-w1500-s42,M3,F0,0.05,2640,146,132.0,0.055303030303030305,1.5132678856204258,0.21864111241487807,1.0774049032161201,0.2992788230338629,2.590672788836546,0.2738057421142761,29.8583287840328,4.182254898941705e-05,0.0038707819514595754,0.0,135,3
final-M3-F0-w1500-s42,M3,F0,0.1,2640,319,264.0,0.12083333333333333,12.019482895387853,0.0005264730671536028,1.3384206689879647,0.24731267853419314,13.357903564375817,0.001257094991542027,15.49489924209099,0.0167377564144999,0.006407425149226308,0.0,274,4
final-M3-F1-w1500-s42,M3,F1,0.01,2640,20,26.400000000000002,0.007575757575757576,1.7103896298674464,0.19093482582213359,45.36617484533784,1.6343268991154795e-11,47.07656447520529,5.990373627147003e-11,688.9801093217453,1.4645861854978883e-145,0.0016081935088015516,0.0,13,4
final-M3-F1-w1500-s42,M3,F1,0.05,2640,175,132.0,0.06628787878787878,13.435908657217752,0.0002468533893996392,24.649824228889656,6.875102402535744e-07,38.08573288610741,5.367699369409427e-09,59.22719612064708,6.460106557220241e-11,0.0033026840783311143,0.0,145,5
final-M3-F1-w1500-s42,M3,F1,0.1,2640,320,264.0,0.12121212121212122,12.448369879457132,0.00041835678656809537,14.6378289646118,0.000130273184766045,27.08619884406893,1.3131267639386493e-06,31.97096744534339,1.652803363344393e-05,0.005219514749765588,0.0,259,5
final-M3-F2-w1500-s42,M3,F2,0.01,2640,18,26.400000000000002,0.006818181818181818,3.0392472876796575,0.08127359469201663,39.303960517437844,3.627048776702888e-10,42.3432078051175,6.386887288342529e-10,558.8756715432181,1.7232116799523502e-117,0.00170635594636988,0.0,12,4
final-M3-F2-w1500-s42,M3,F2,0.05,2640,213,132.0,0.08068181818181819,44.48149905919851,2.5677226280183e-11,12.543717540815578,0.0003975406116738768,57.02521660001409,4.1412509702269967e-13,58.66392491815071,8.404915916890689e-11,0.0034364979983096807,0.0,181,4
final-M3-F2-w1500-s42,M3,F2,0.1,2640,335,264.0,0.1268939393939394,19.724644726025815,8.944047320410881e-06,7.7144537654337455,0.005478043269504583,27.43909849145956,1.100716478909199e-06,32.96300668214677,1.065909644557091e-05,0.004563642494812945,0.0,276,5
final-M3-F3-w1500-s42,M3,F3,0.01,2640,26,26.400000000000002,0.009848484848484848,0.006152664319444279,0.9374789144488718,29.14803220743795,6.705381273089886e-08,29.154184871757394,4.6692722063896607e-07,239.77923493597913,6.257176754958417e-49,0.0010381160253251616,0.0,20,4
final-M3-F3-w1500-s42,M3,F3,0.05,2640,178,132.0,0.06742424242424243,15.286365641811301,9.238090318083514e-05,9.45803685306737,0.002102259465334461,24.74440249487867,4.234686547153252e-06,22.18733894761531,0.0011197628331770912,0.0025923845610487206,0.0,155,5
final-M3-F3-w1500-s42,M3,F3,0.1,2640,335,264.0,0.1268939393939394,19.724644726025815,8.944047320410881e-06,3.2886535623233613,0.06976020622338265,23.013298288349176,1.0062960581680926e-05,20.287843262235718,0.0024608209195362695,0.004246206169029181,0.0,282,5
final-M4-none-w1500-s42,M4,none,0.01,2640,19,26.400000000000002,0.007196969696969697,2.3217810201119313,0.12757388359817007,0.2755749345362517,0.5996163393668191,2.597355954648183,0.2728923245071915,2.6165205787515244,0.8552060211467792,0.000350715956329661,0.0,19,1
final-M4-none-w1500-s42,M4,none,0.05,2640,112,132.0,0.04242424242424243,3.3551838772182236,0.06699372846603333,0.803539389423122,0.37003725264860476,4.158723266641346,0.12500998894399012,4.109109199828813,0.6619137040813552,0.0012638250537463807,0.0,109,2
final-M4-none-w1500-s42,M4,none,0.1,2640,217,264.0,0.0821969696969697,9.837184129575206,0.0017101909483832793,2.5203983114497532,0.11238219493374588,12.35758244102496,0.0020729320585715946,6.764609601766853,0.3431656823738338,0.002051868781227378,0.0,205,3
final-M5-F3-w1500-s42,M5,F3,0.01,2640,4,26.400000000000002,0.0015151515151515152,29.894877096694625,4.561163791785189e-08,8.765400500840606,0.0030699865568331814,38.66027759753523,4.0274242922088196e-09,175.66086980954526,2.830579734722686e-35,0.0005333866023290846,0.0,3,2
final-M5-F3-w1500-s42,M5,F3,0.05,2640,120,132.0,0.045454545454545456,1.1828817603573967,0.2767701063641234,2.1471045356659033,0.14283904505981207,3.3299862960233,0.18919195431860772,17.785178763922218,0.006792078821280296,0.0013687391857868899,0.0,111,4
final-M5-F3-w1500-s42,M5,F3,0.1,2640,318,264.0,0.12045454545454545,11.59772721163391,0.0006603246858335188,5.044021152406003,0.02471106512240368,16.641748364039913,0.00024338301015113456,18.225942387117406,0.0056916773490779385,0.002254316037629862,0.0,267,5
