model,feature_set,tail,failure_rate_mean,failure_rate_std,pinball_mean,pinball_std
M3,F3,0.01,0.008143939393939394,0.006160399987610073,0.0011162126881151453,7.843728900275242e-05
M3,F3,0.05,0.06553030303030304,0.005892556509887902,0.002336262010782151,0.00040843472981900774
M3,F3,0.1,0.12443181818181817,0.008838834764831847,0.003675088316750507,0.0007099985935943829
M5,F3,0.01,0.0034090909090909094,0.0005356869554443543,0.0007494559976733911,0.0003151942614820069
M5,F3,0.05,0.05265151515151515,0.0005356869554443577,0.0024467112454312715,0.0012749719934687831
M5,F3,0.1,0.13295454545454544,0.001071373910888686,0.004016620718419524,0.0020487564570731555
