experiment_id,model,feature_set,tail,n_forecasts,n_violations,expected_violations,failure_rate,kupiec_lr,kupiec_pvalue,christoffersen_ind_lr,christoffersen_ind_pvalue,conditional_coverage_lr,conditional_coverage_pvalue,dq_stat,dq_pvalue,mean_pinball,crossing_rate,n_runs,max_run
rob-M3-F3-s7,M3,F3,0.01,2640,10,26.400000000000002,0.003787878787878788,13.487114951671899,0.0002402072389196878,12.771107362642667,0.0003520143854704987,26.258222314314565,1.986549870783722e-06,338.0127789952284,5.772622443454272e-70,0.0010607491491634099,0.0,8,2
rob-M3-F3-s7,M3,F3,0.05,2640,184,132.0,0.0696969696969697,19.31093075817995,1.1106868516800921e-05,4.05073401602408,0.04415214308810851,23.36166477420403,8.454325220794474e-06,24.52100049727683,0.0004186827191599324,0.0020474550436550354,0.0,164,3
rob-M3-F3-s7,M3,F3,0.1,2640,312,264.0,0.11818181818181818,9.218042514915268,0.0023964163016131565,4.025270562231071,0.044823429667872734,13.24331307714634,0.0013312238943547648,24.812785592417505,0.0003698074091250651,0.0031730434965870067,0.0,264,4
rob-M3-F3-s2026,M3,F3,0.01,2640,33,26.400000000000002,0.0125,1.5441551003259075,0.21400038491567014,36.12552794589607,1.850072843313006e-09,37.66968304622198,6.608946846320783e-09,240.82006181392575,3.750564312199892e-49,0.0011716762270668805,0.0,25,4
rob-M3-F3-s2026,M3,F3,0.05,2640,162,132.0,0.06136363636363636,6.7136808194943,0.009567603860061537,7.626449537844792,0.005751842155963259,14.340130357339092,0.0007692725894291333,42.96914357764195,1.1829502141511484e-07,0.002625068977909267,0.0,143,4
rob-M3-F3-s2026,M3,F3,0.1,2640,345,264.0,0.13068181818181818,25.434055416264982,4.577654052602985e-07,0.035865874757746496,0.8497927424452171,25.46992129102273,2.9462993123431154e-06,10.615069532190242,0.10102697619384292,0.004177133136914007,0.0,301,4
rob-M5-F3-s7,M5,F3,0.01,2640,10,26.400000000000002,0.003787878787878788,13.487114951671899,0.0002402072389196878,4.814233266402923,0.02822562602568696,18.30134821807482,0.00010614822314641374,76.43799088373183,1.940646223615239e-14,0.000972331997358404,0.0,9,2
rob-M5-F3-s7,M5,F3,0.05,2640,138,132.0,0.05227272727272727,0.2830519968721994,0.5947077718153795,31.763826931119866,1.741053454464016e-08,32.04687892799207,1.0992808430611338e-07,81.65216103122229,1.6276875305512553e-15,0.0033482525878359786,0.0,113,4
rob-M5-F3-s7,M5,F3,0.1,2640,353,264.0,0.1337121212121212,30.48255830669177,3.368817009629416e-08,38.39825528127858,5.768394409289002e-10,68.88081358797035,1.103370516518999e-15,65.7476980948555,3.034912578881819e-12,0.005465310302215678,0.0,266,6
rob-M5-F3-s2026,M5,F3,0.01,2640,8,26.400000000000002,0.0030303030303030303,17.82647538598214,2.419925458075139e-05,0.04865077812326035,0.8254278744140141,17.8751261641054,0.00013136076585828411,41.20336600164293,2.640448123235867e-07,0.0005265799979883781,0.0,8,1
rob-M5-F3-s2026,M5,F3,0.05,2640,140,132.0,0.05303030303030303,0.5008855238260246,0.4791112889276097,8.577283655443807,0.003403827788125293,9.078169179269832,0.010683181573907663,20.69444861847847,0.0020814536558254044,0.0015451699030265644,0.0,124,3
rob-M5-F3-s2026,M5,F3,0.1,2640,349,264.0,0.1321969696969697,27.905476732104006,1.2738868555969706e-07,8.4565108240472,0.003637389731812457,36.361987556151206,1.2708512682368013e-08,32.692297444860955,1.2016415132262645e-05,0.0025679311346233696,0.0,285,6
