tail,model_a,model_b,n,dm_stat,dm_pvalue,bootstrap_pvalue,pinball_a,pinball_b,favors,headline,holm_dm_pvalue
0.05,M0,M1,2641,4.563573308562071,5.029023810039359e-06,0.077,0.001686188776916906,0.0012931709671386393,b,0,
0.05,M0,M2,2641,4.790528462834983,1.663426240039864e-06,0.04,0.001686188776916906,0.0013325530709867633,b,0,
0.05,M0,M3,2641,4.031489768815097,5.5424409705994964e-05,0.091,0.001686188776916906,0.0013096728427857698,b,0,
0.05,M0,M4,2641,4.828041585139719,1.3788230495187106e-06,0.052,0.001686188776916906,0.0012563648518895973,b,0,
0.05,M0,M5,2641,7.207857806336595,5.683893654737576e-13,0.001,0.001686188776916906,0.0015024598683786234,b,0,
0.05,M1,M2,2641,-1.0079180105329164,0.3134938245419995,0.46,0.0012931709671386393,0.0013325530709867633,a,0,
0.05,M1,M3,2641,-0.5032785677692284,0.6147684326594023,0.601,0.0012931709671386393,0.0013096728427857698,a,1,1.0
0.05,M1,M4,2641,3.1607393335059704,0.0015736926070119076,0.001,0.0012931709671386393,0.0012563648518895973,b,1,0.00629477042804763
0.05,M1,M5,2641,-2.6090053190247047,0.009080583087591727,0.262,0.0012931709671386393,0.0015024598683786234,a,0,
0.05,M2,M3,2641,0.5165993967161046,0.6054358369237729,0.697,0.0013325530709867633,0.0013096728427857698,b,1,1.0
0.05,M2,M4,2641,1.9230023683467512,0.05447975242494454,0.227,0.0013325530709867633,0.0012563648518895973,b,0,
0.05,M2,M5,2641,-2.5372781660890187,0.011171814631903277,0.229,0.0013325530709867633,0.0015024598683786234,a,0,
0.05,M3,M4,2641,1.5973380425638144,0.11019037514731267,0.098,0.0013096728427857698,0.0012563648518895973,b,0,
0.05,M3,M5,2641,-2.2169453788401174,0.026626824284088944,0.305,0.0013096728427857698,0.0015024598683786234,a,1,0.07988047285226683
0.05,M4,M5,2641,-2.9635261575948877,0.003041362117968608,0.214,0.0012563648518895973,0.0015024598683786234,a,0,
0.1,M0,M1,2641,4.801263683447111,1.5766749528776723e-06,0.051,0.0024387792183973656,0.0020712593426411765,b,0,
0.1,M0,M2,2641,4.915422704722027,8.859109947351696e-07,0.03,0.0024387792183973656,0.0020782834574220375,b,0,
0.1,M0,M3,2641,2.7171250451874993,0.006585172296186326,0.141,0.0024387792183973656,0.002188779008996256,b,0,
0.1,M0,M4,2641,5.033688367613954,4.81131587397671e-07,0.029,0.0024387792183973656,0.0020410209663234095,b,0,
0.1,M0,M5,2641,5.30829026167087,1.1065832241044022e-07,0.001,0.0024387792183973656,0.002243789077597714,b,0,
0.1,M1,M2,2641,-0.19403205047918862,0.8461507861239586,0.853,0.0020712593426411765,0.0020782834574220375,a,0,
0.1,M1,M3,2641,-2.601615758006964,0.009278574552739177,0.012,0.0020712593426411765,0.002188779008996256,a,1,0.02271942414603833
0.1,M1,M4,2641,2.7657126442740014,0.005679856036509582,0.003,0.0020712593426411765,0.0020410209663234095,b,1,0.02271942414603833
0.1,M1,M5,2641,-2.597507050492346,0.009390319244882957,0.249,0.0020712593426411765,0.002243789077597714,a,0,
0.1,M2,M3,2641,-2.7285528887503467,0.006361288846613671,0.025,0.0020782834574220375,0.002188779008996256,a,1,0.02271942414603833
0.1,M2,M4,2641,1.0913118297180564,0.27513569417200223,0.307,0.0020782834574220375,0.0020410209663234095,b,0,
0.1,M2,M5,2641,-2.7650511471106674,0.0056913871159418985,0.182,0.0020782834574220375,0.002243789077597714,a,0,
0.1,M3,M4,2641,3.4390486678696326,0.0005837622782757427,0.002,0.002188779008996256,0.0020410209663234095,b,0,
0.1,M3,M5,2641,-0.6925866353718015,0.4885689998007646,0.699,0.002188779008996256,0.002243789077597714,a,1,0.4885689998007646
0.1,M4,M5,2641,-2.9867339451377264,0.002819750009376314,0.184,0.0020410209663234095,0.002243789077597714,a,0,
