model,feature_set,tail,n_seeds,failure_rate_mean,failure_rate_std,pinball_mean,pinball_std
M3,F3,0.01,3,0.03205856367537549,0.00778142756117549,0.0004572808453450422,2.9359951013544646e-05
M3,F3,0.05,3,0.05793260128739114,0.0017351668667004295,0.0013232681567396565,1.952351415526379e-05
M3,F3,0.1,3,0.09718540956708317,0.002282360383696211,0.002202052201335422,2.5041860823703893e-05
M5,F3,0.01,3,0.03975766755017039,0.003407800075728891,0.0007023215150897727,2.6971134678566903e-05
M5,F3,0.05,3,0.06903950523791492,0.0017074024054611525,0.0014892197114761392,1.3336528721448119e-05
M5,F3,0.1,3,0.1278556102486432,0.006734480157492914,0.002238512021122931,5.080635109951676e-06
