experiment_id,model,feature_set,tail,n_forecasts,n_violations,expected_violations,failure_rate,kupiec_lr,kupiec_pvalue,christoffersen_ind_lr,christoffersen_ind_pvalue,conditional_coverage_lr,conditional_coverage_pvalue,dq_stat,dq_pvalue,mean_pinball,crossing_rate,n_runs,max_run
final-M0-none-w1500-s42,M0,none,0.01,2641,41,26.41,0.01552442256720939,6.967573255313596,0.008299998384889552,22.97245449622619,1.643393463205925e-06,29.940027751539787,3.152140592399093e-07,224.52686874463524,1.1266609489019642e-45,0.0006177001585113024,0.0,34,2
final-M0-none-w1500-s42,M0,none,0.05,2641,140,132.05,0.05301022340022719,0.4945169486486094,0.48191928618080815,17.019467202397436,3.699853309720696e-05,17.513984151046046,0.0001573572160682263,152.11574874351479,2.761608064356509e-30,0.001686188776916906,0.0,120,3
final-M0-none-w1500-s42,M0,none,0.1,2641,255,264.1,0.09655433547898523,0.3520153067692,0.5529745248679728,11.881969412274657,0.0005667997635197214,12.233984719043857,0.002205078081670336,145.90188232235596,5.685198414111404e-29,0.0024387792183973656,0.0,214,7
final-M1-none-w1500-s42,M1,none,0.01,2641,40,26.41,0.015145778114350625,6.101698428509987,0.013505202055714155,2.088402371993709,0.14842121297633168,8.190100800503696,0.016654906850255266,19.118656023908805,0.003967864522979517,0.00036185473719861454,0.0,38,2
final-M1-none-w1500-s42,M1,none,0.05,2641,166,132.05,0.0628549791745551,8.525456283034273,0.0035021293697841942,1.4382658230767902,0.2304201742114632,9.963722106111064,0.00686128145920968,14.9453892299967,0.020685743109319487,0.0012931709671386393,0.0,159,3
final-M1-none-w1500-s42,M1,none,0.1,2641,300,264.1,0.11359333585762968,5.217766939082864,0.022357242728173653,1.4036061238280126,0.23612071994473455,6.621373062910877,0.03649111285535804,11.807353735306739,0.06640710603118019,0.0020712593426411765,0.0,272,4
final-M2-F0-w1500-s42,M2,F0,0.01,2641,45,26.41,0.01703900037864445,10.915269878291326,0.0009537482069259788,7.234757877444167,0.007150545292414241,18.150027755735493,0.00011449105298778292,23.982798833067733,0.0005260764710430553,0.00044793246765733723,0.00605831124574025,41,2
final-M2-F0-w1500-s42,M2,F0,0.05,2641,143,132.05,0.054146156758803486,0.9317611623981534,0.33440570591234675,0.6779755427978671,0.41028471148740164,1.6097367051960205,0.447146788397768,16.614523354494782,0.010809378481098926,0.0013814237129435184,0.00605831124574025,133,3
final-M2-F0-w1500-s42,M2,F0,0.1,2641,274,264.1,0.10374858008330178,0.40784907129679837,0.5230632555931571,0.5715879100855545,0.4496286123078278,0.9794369813823529,0.6127988784940401,9.784942507141235,0.13400561259378324,0.0021630513701389057,0.00605831124574025,242,4
final-M2-F1-w1500-s42,M2,F1,0.01,2641,46,26.41,0.01741764483150322,12.01782507806437,0.0005269415581887797,1.3253155791629183,0.249640293948504,13.343140657227288,0.0012664085112292403,42.37443283396949,1.5508357198576704e-07,0.0004474476349316658,0.020068156001514577,44,2
final-M2-F1-w1500-s42,M2,F1,0.05,2641,147,132.05,0.05566073457023855,1.7213322745004476,0.18952164228571147,8.397377618434803,0.0037576269674856966,10.11870989293525,0.006349654058946529,11.374315725879345,0.07747413083703243,0.0013204704646018644,0.020068156001514577,130,3
final-M2-F1-w1500-s42,M2,F1,0.1,2641,285,264.1,0.1079136690647482,1.7962897491632148,0.18016169409414562,1.0734154254514578,0.30017525449235716,2.8697051746146727,0.23815046782897137,6.015228639647255,0.4214863218816376,0.002060138452491048,0.020068156001514577,249,4
final-M2-F2-w1500-s42,M2,F2,0.01,2641,57,26.41,0.02158273381294964,26.880472489305376,2.1643469254682127e-07,1.9223377351846693,0.16559917876580144,28.802810224490045,5.566077232178838e-07,19.74569831399414,0.003073201373671228,0.0004532137995549331,0.03180613404013631,54,2
final-M2-F2-w1500-s42,M2,F2,0.05,2641,160,132.05,0.0605831124574025,5.8503454883914685,0.0155739934049233,8.166958876305443,0.0042660374729573715,14.017304364696912,0.0009040262301427071,17.366605518050516,0.00802626871904916,0.0013192747864399063,0.03180613404013631,141,3
final-M2-F2-w1500-s42,M2,F2,0.1,2641,296,264.1,0.11207875804619462,4.136781023052741,0.0419608902990466,1.6898432780076291,0.1936216298652127,5.82662430106037,0.05429559653066474,7.634362790003831,0.26613287158148524,0.0020694184385632417,0.03180613404013631,256,4
final-M2-F3-w1500-s42,M2,F3,0.01,2641,57,26.41,0.02158273381294964,26.880472489305376,2.1643469254682127e-07,4.17390436174162,0.041051096886206694,31.054376851046996,1.805625782190527e-07,23.934925992003212,0.0005368487548685138,0.0005197900146293095,0.053388867853085956,53,2
final-M2-F3-w1500-s42,M2,F3,0.05,2641,161,132.05,0.06096175691026127,6.263377246958868,0.012325901372456937,9.54311816731024,0.002007004902441211,15.806495414269108,0.0003695414271302843,13.887124585121116,0.030922776238266544,0.0013325530709867633,0.053388867853085956,141,4
final-M2-F3-w1500-s42,M2,F3,0.1,2641,297,264.1,0.1124574024990534,4.395668804785984,0.03603032525436257,2.640264060402842,0.10418622570056632,7.035932865188826,0.029659688858679627,12.473790912016682,0.052196278243630885,0.0020782834574220375,0.053388867853085956,255,4
final-M3-F0-w1500-s42,M3,F0,0.01,2641,70,26.41,0.026505111700113593,50.01614989169882,1.52485762423566e-12,1.9930048872818134,0.15802704630090492,52.00915477898063,5.085756180147704e-12,38.47091601014149,9.086615183347955e-07,0.0005005460822103937,0.0,66,3
final-M3-F0-w1500-s42,M3,F0,0.05,2641,144,132.05,0.05452480121166225,1.1072141366002057,0.29268833609010414,0.6088711590709863,0.43521315552941164,1.716085295671192,0.42399117067971503,29.44270218587555,5.015356159566753e-05,0.0013661700321580717,0.0,134,3
final-M3-F0-w1500-s42,M3,F0,0.1,2641,271,264.1,0.10261264672472548,0.19877255651318926,0.6557134324803795,0.15024976286463243,0.6982967901703806,0.3490223193778217,0.8398674815170922,17.013122733895365,0.009235137154318975,0.0022062465867560667,0.0,245,3
final-M3-F1-w1500-s42,M3,F1,0.01,2641,83,26.41,0.03142748958727755,78.14001186335872,9.59897704689358e-19,5.529957166918962,0.0186935629698977,83.66996903027768,6.781051997221475e-19,17.47549350802163,0.007685777268029692,0.00045941977606349415,0.0,76,3
final-M3-F1-w1500-s42,M3,F1,0.05,2641,144,132.05,0.05452480121166225,1.1072141366002057,0.29268833609010414,7.499767156950156,0.006170697070994187,8.606981293550362,0.013521278533174818,20.508574508334362,0.002247196291668506,0.0013384143175354925,0.0,128,3
final-M3-F1-w1500-s42,M3,F1,0.1,2641,255,264.1,0.09655433547898523,0.3520153067692,0.5529745248679728,12.91749548147618,0.0003255251250341549,13.26951078824538,0.0013139000935415465,40.87815579361672,3.0601823557811495e-07,0.002218900832041936,0.0,213,6
final-M3-F2-w1500-s42,M3,F2,0.01,2641,72,26.41,0.027262400605831124,54.04057193301749,1.9639220198905215e-13,5.811783841791566,0.015919138520102707,59.852355774809055,1.0074559799411594e-13,30.310133824416695,3.4315194552727585e-05,0.0004095525467848704,0.0,66,3
final-M3-F2-w1500-s42,M3,F2,0.05,2641,153,132.05,0.05793260128739114,3.336152175338647,0.06777292452124392,8.441398036791043,0.0036677417328578312,11.77755021212969,0.0027703680264751012,42.94817080547144,1.194307772993945e-07,0.0013009403196256593,0.0,135,6
final-M3-F2-w1500-s42,M3,F2,0.1,2641,261,264.1,0.09882620219613783,0.04057227101610206,0.8403658020616217,13.616153204339525,0.00022424769681153884,13.656725475355628,0.00108262921535507,43.003006437670535,1.1648386526708323e-07,0.002186099548431988,0.0,217,6
final-M3-F3-w1500-s42,M3,F3,0.01,2641,61,26.41,0.023097311624384703,33.40964241512779,7.465291993819434e-09,3.3948173975247755,0.06540160443598103,36.80445981265257,1.0186221060577211e-08,14.508656848436427,0.02444254896922768,0.0004253425388732767,0.0,57,3
final-M3-F3-w1500-s42,M3,F3,0.05,2641,152,132.05,0.05755395683453238,3.0318193913289875,0.08164641640969644,5.579248716301208,0.018174517577718593,8.611068107630196,0.013493677267346021,21.122486783566615,0.0017439196144360461,0.0013096728427857698,0.0,136,3
final-M3-F3-w1500-s42,M3,F3,0.1,2641,256,264.1,0.096932979931844,0.27857996891303216,0.5976334693493908,9.95745632597118,0.0016019924130149842,10.236036294884212,0.005987878235154156,41.587167986365955,2.218206377965618e-07,0.002188779008996256,0.0,216,6
final-M4-none-w1500-s42,M4,none,0.01,2641,38,26.41,0.014388489208633094,4.523553375883527,0.03343132809701669,0.3117473009621108,0.5766099457778049,4.8353006768456375,0.08913079882377949,7.374526225887282,0.28759491965654604,0.00034169875625680293,0.0,37,2
final-M4-none-w1500-s42,M4,none,0.05,2641,167,132.05,0.06323362362741386,9.016734599017155,0.0026751888845064015,0.7662729675753326,0.3813725148592614,9.783007566592488,0.007510120385587853,10.476212703784343,0.10597764291221763,0.0012563648518895973,0.0,159,3
final-M4-none-w1500-s42,M4,none,0.1,2641,285,264.1,0.1079136690647482,1.7962897491632148,0.18016169409414562,3.410871723002174,0.06476822359938443,5.207161472165389,0.07400809972069809,6.912508147157608,0.32901429471399934,0.0020410209663234095,0.0,263,4
final-M5-F3-w1500-s42,M5,F3,0.01,2641,96,26.41,0.0363498674744415,110.48511374414016,7.671936083578768e-26,14.260869116566596,0.00015913911516366792,124.74598286070676,8.161199644926133e-28,108.64335846481968,3.920099178970513e-21,0.0006787858325653253,0.0,84,3
final-M5-F3-w1500-s42,M5,F3,0.05,2641,178,132.05,0.06739871260886028,15.24936983059466,9.420818340632825e-05,6.530517673179702,0.010603909151920258,21.77988750377436,1.8644791036332404e-05,70.16515202346434,3.782068109163254e-13,0.0015024598683786234,0.0,157,3
final-M5-F3-w1500-s42,M5,F3,0.1,2641,357,264.1,0.13517606967057932,33.084488664223954,8.823986640404907e-09,4.237878379445647,0.03953153840678827,37.3223670436696,7.862324613837395e-09,31.404444386591493,2.1217005694480674e-05,0.002243789077597714,0.0,296,5
