window,model,feature_set,tail,n,failure_rate,abs_coverage_gap,mean_pinball
1000,M0,none,0.01,498,0.030120481927710843,0.02012048192771084,0.00042188559899892033
1000,M0,none,0.05,498,0.07228915662650602,0.022289156626506018,0.0011426187698805983
1000,M0,none,0.1,498,0.09236947791164658,0.0076305220883534225,0.001729816687189096
1000,M1,none,0.01,498,0.0321285140562249,0.022128514056224895,0.00031799371723192427
1000,M1,none,0.05,498,0.06827309236947791,0.01827309236947791,0.0010198951852612138
1000,M1,none,0.1,498,0.11244979919678715,0.01244979919678714,0.0015874093819540052
1000,M1_gauss,none,0.01,498,0.03614457831325301,0.02614457831325301,0.000345866613804228
1000,M1_gauss,none,0.05,498,0.06827309236947791,0.01827309236947791,0.0010213717079579174
1000,M1_gauss,none,0.1,498,0.10843373493975904,0.008433734939759033,0.0015812595655279285
1000,M2,F0,0.01,498,0.03815261044176707,0.02815261044176707,0.00036017445206968957
1000,M2,F0,0.05,498,0.06626506024096386,0.016265060240963858,0.001071535601338558
1000,M2,F0,0.1,498,0.10843373493975904,0.008433734939759033,0.0016500878732546814
1000,M2,F1,0.01,498,0.040160642570281124,0.030160642570281122,0.00037115283372294515
1000,M2,F1,0.05,498,0.06224899598393574,0.012248995983935737,0.0010371708047583303
1000,M2,F1,0.1,498,0.09236947791164658,0.0076305220883534225,0.0015855893034096913
1000,M2,F2,0.01,498,0.04417670682730924,0.034176706827309236,0.00040042385740413994
1000,M2,F2,0.05,498,0.06224899598393574,0.012248995983935737,0.0010664374924310661
1000,M2,F2,0.1,498,0.09236947791164658,0.0076305220883534225,0.0016073408719582242
1000,M2,F3,0.01,498,0.04618473895582329,0.03618473895582329,0.00045682380452422445
1000,M2,F3,0.05,498,0.0642570281124498,0.01425702811244979,0.001130464394129528
1000,M2,F3,0.1,498,0.09839357429718876,0.0016064257028112483,0.0016695610556008613
1000,M4,none,0.01,498,0.028112449799196786,0.018112449799196788,0.00030688564610554424
1000,M4,none,0.05,498,0.0642570281124498,0.01425702811244979,0.0010070452962871288
1000,M4,none,0.1,498,0.09839357429718876,0.0016064257028112483,0.0015595327520455014
1500,M0,none,0.01,498,0.004016064257028112,0.005983935742971888,0.0003119977240433519
1500,M0,none,0.05,498,0.03614457831325301,0.013855421686746992,0.0011120003976515126
1500,M0,none,0.1,498,0.07028112449799197,0.029718875502008038,0.0017842493797283344
1500,M1,none,0.01,498,0.020080321285140562,0.010080321285140562,0.0002951845345402342
1500,M1,none,0.05,498,0.06224899598393574,0.012248995983935737,0.0010014741083571852
1500,M1,none,0.1,498,0.10040160642570281,0.00040160642570280514,0.0015720899179209394
1500,M1_gauss,none,0.01,498,0.028112449799196786,0.018112449799196788,0.00030948663640655445
1500,M1_gauss,none,0.05,498,0.05823293172690763,0.00823293172690763,0.0009975218742610528
1500,M1_gauss,none,0.1,498,0.09437751004016064,0.005622489959839369,0.0015672536667206125
1500,M2,F0,0.01,498,0.018072289156626505,0.008072289156626505,0.00031744327013973474
1500,M2,F0,0.05,498,0.04618473895582329,0.0038152610441767112,0.0010004957824159917
1500,M2,F0,0.1,498,0.08032128514056225,0.019678714859437757,0.0015985241079873684
1500,M2,F1,0.01,498,0.024096385542168676,0.014096385542168676,0.0003032253543678356
1500,M2,F1,0.05,498,0.05622489959839357,0.00622489959839357,0.0009849965539257667
1500,M2,F1,0.1,498,0.08032128514056225,0.019678714859437757,0.0015789823175440362
1500,M2,F2,0.01,498,0.020080321285140562,0.010080321285140562,0.00031112620653858794
1500,M2,F2,0.05,498,0.06224899598393574,0.012248995983935737,0.0010087294740895444
1500,M2,F2,0.1,498,0.0823293172690763,0.017670682730923704,0.0015972472838972742
1500,M2,F3,0.01,498,0.02610441767068273,0.016104417670682727,0.00034514205135164017
1500,M2,F3,0.05,498,0.0642570281124498,0.01425702811244979,0.001024123004010125
1500,M2,F3,0.1,498,0.0783132530120482,0.02168674698795181,0.0015883354849129687
1500,M4,none,0.01,498,0.018072289156626505,0.008072289156626505,0.0002931582076476279
1500,M4,none,0.05,498,0.060240963855421686,0.010240963855421684,0.0009894590023791301
1500,M4,none,0.1,498,0.08634538152610442,0.013654618473895583,0.0015587955694227535
