model,feature_set,tail,regime,n,failure_rate,mean_pinball
M3,F2,0.05,stress_2015_2016,504,0.06944444444444445,0.0011034638158634626
M3,F2,0.05,calm_2017,251,0.03187250996015936,0.000731186737003988
M3,F2,0.05,spike_2018,123,0.12195121951219512,0.0018123931241265194
M3,F2,0.1,crisis_2008_2009,505,0.09900990099009901,0.0037820700975696973
M3,F2,0.1,elevated_2010_2012,754,0.09814323607427056,0.002145996403440532
M3,F2,0.1,calm_2013_2014,504,0.08134920634920635,0.0014651230063829981
M3,F2,0.1,stress_2015_2016,504,0.1111111111111111,0.001798250645420277
M3,F2,0.1,calm_2017,251,0.06772908366533864,0.0013244830701066835
M3,F2,0.1,spike_2018,123,0.17073170731707318,0.0025552019486779916
M3,F3,0.01,crisis_2008_2009,505,0.053465346534653464,0.0008389966161649111
M3,F3,0.01,elevated_2010_2012,754,0.03183023872679045,0.00043254229136389916
M3,F3,0.01,calm_2013_2014,504,0.013888888888888888,0.0002684883931046334
M3,F3,0.01,stress_2015_2016,504,0.03571428571428571,0.0003813914926783207
M3,F3,0.01,calm_2017,251,0.00796812749003984,0.00017957378151399085
M3,F3,0.01,spike_2018,123,0.07317073170731707,0.0009303166308231169
M3,F3,0.05,crisis_2008_2009,505,0.07326732673267326,0.002216183668299639
M3,F3,0.05,elevated_2010_2012,754,0.04774535809018567,0.0013081569207952324
M3,F3,0.05,calm_2013_2014,504,0.04365079365079365,0.0009503793024870726
M3,F3,0.05,stress_2015_2016,504,0.06349206349206349,0.0011333263112127173
M3,F3,0.05,calm_2017,251,0.02390438247011952,0.0007703900904041844
M3,F3,0.05,spike_2018,123,0.0975609756097561,0.0016575578157010979
M3,F3,0.1,crisis_2008_2009,505,0.10297029702970296,0.003859201487348362
M3,F3,0.1,elevated_2010_2012,754,0.10212201591511937,0.002111218576937531
M3,F3,0.1,calm_2013_2014,504,0.08531746031746032,0.0015624596974974515
M3,F3,0.1,stress_2015_2016,504,0.09523809523809523,0.0018613726199867146
M3,F3,0.1,calm_2017,251,0.055776892430278883,0.001287821514761865
M3,F3,0.1,spike_2018,123,0.16260162601626016,0.002454356746253807
M4,none,0.01,crisis_2008_2009,505,0.02178217821782178,0.000539124966151024
M4,none,0.01,elevated_2010_2012,754,0.017241379310344827,0.0003659246513444232
M4,none,0.01,calm_2013_2014,504,0.007936507936507936,0.00022805477982934053
M4,none,0.01,stress_2015_2016,504,0.007936507936507936,0.00030472577363543354
M4,none,0.01,calm_2017,251,0.01195219123505976,0.00018524936739440373
M4,none,0.01,spike_2018,123,0.024390243902439025,0.0003190417080651447
M4,none,0.05,crisis_2008_2009,505,0.07920792079207921,0.0021869606958232007
M4,none,0.05,elevated_2010_2012,754,0.0649867374005305,0.0013112064142801634
M4,none,0.05,calm_2013_2014,504,0.05555555555555555,0.0008719699296518535
M4,none,0.05,stress_2015_2016,504,0.06746031746031746,0.0009805489016272918
M4,none,0.05,calm_2017,251,0.0199203187250996,0.0005576526350699693
M4,none,0.05,spike_2018,123,0.08943089430894309,0.001230524257847281
M4,none,0.1,crisis_2008_2009,505,0.13663366336633664,0.003621763983193153
M4,none,0.1,elevated_2010_2012,754,0.10742705570291777,0.002089686995430084
M4,none,0.1,calm_2013_2014,504,0.09523809523809523,0.001404750030566097
M4,none,0.1,stress_2015_2016,504,0.11507936507936507,0.0016119588794148022
M4,none,0.1,calm_2017,251,0.05179282868525897,0.0008596268483730832
M4,none,0.1,spike_2018,123,0.13008130081300814,0.0020287311904169177
M5,F3,0.01,crisis_2008_2009,505,0.0891089108910891,0.0019418813334469043
M5,F3,0.01,elevated_2010_2012,754,0.025198938992042442,0.00037293251797374465
M5,F3,0.01,calm_2013_2014,504,0.007936507936507936,0.0002256211317895001
M5,F3,0.01,stress_2015_2016,504,0.00992063492063492,0.0003191397681806409
M5,F3,0.01,calm_2017,251,0.01195219123505976,0.00020313319073595585
M5,F3,0.01,spike_2018,123,0.07317073170731707,0.0006606871527298967
M5,F3,0.05,crisis_2008_2009,505,0.13663366336633664,0.0031449194920163586
M5,F3,0.05,elevated_2010_2012,754,0.054376657824933686,0.0013132896732191259
M5,F3,0.05,calm_2013_2014,504,0.051587301587301584,0.0008854100144200822
M5,F3,0.05,stress_2015_2016,504,0.041666666666666664,0.001009540514181174
M5,F3,0.05,calm_2017,251,0.02390438247011952,0.0006034654000571345
M5,F3,0.05,spike_2018,123,0.11382113821138211,0.0014403222810118305
M5,F3,0.1,crisis_2008_2009,505,0.16237623762376238,0.004334664679889336
M5,F3,0.1,elevated_2010_2012,754,0.10610079575596817,0.0021463949523537747
M5,F3,0.1,calm_2013_2014,504,0.12103174603174603,0.0014840215394436413
M5,F3,0.1,stress_2015_2016,504,0.09523809523809523,0.0016181478146792055
M5,F3,0.1,calm_2017,251,0.06772908366533864,0.0009062671306242377
M5,F3,0.1,spike_2018,123,0.16260162601626016,0.002161684803070472
