model,feature_set,tail,n_seeds,failure_rate_mean,failure_rate_std,pinball_mean,pinball_std
M3,F3,0.01,3,0.03117505995203837,0.0015764225668050992,0.0004469965083635658,2.163878780180244e-05
M3,F3,0.05,3,0.05566073457023855,0.0010017990575784121,0.0013241729758160993,1.8356201026058608e-05
M3,F3,0.1,3,0.09642812066136565,0.000788211283402552,0.002188301189142162,3.7141468530033587e-05
M5,F3,0.01,3,0.03622365265682191,0.003578807744227648,0.000689270380348121,4.9804369588422576e-05
M5,F3,0.05,3,0.06702006815600152,0.001514577811435061,0.0014998602610224775,3.48064396239644e-05
M5,F3,0.1,3,0.11902057301527198,0.002941103167419171,0.0022518134796347005,3.746714620086714e-05
