experiment_id,model,feature_set,tail,n_forecasts,n_violations,expected_violations,failure_rate,kupiec_lr,kupiec_pvalue,christoffersen_ind_lr,christoffersen_ind_pvalue,conditional_coverage_lr,conditional_coverage_pvalue,dq_stat,dq_pvalue,mean_pinball,crossing_rate,n_runs,max_run,seed
rob-M3-F3-s7,M3,F3,0.01,2641,81,26.41,0.030670200681560015,73.52224186835463,9.95085246446402e-18,3.8716633564110907,0.04910782998510576,77.39390522476572,1.5636048684000987e-17,15.163106893675971,0.019025348054859014,0.00044758591316057376,0.0,75,3,7
rob-M3-F3-s7,M3,F3,0.05,2641,146,132.05,0.05528209011737978,1.502094503263411,0.2203493694399985,4.090602209736289,0.043122275349473944,5.5926967129997,0.06103252522499806,15.166490457200279,0.019000577628361673,0.0013149967709202804,0.0,132,3,7
rob-M3-F3-s7,M3,F3,0.1,2641,253,264.1,0.09579704657326771,0.5249606511036795,0.46873324620913204,7.294110132044807,0.006918102639271965,7.8190707831484865,0.02004981421064987,29.417904869824365,5.0699529379567855e-05,0.002161961270477836,0.0,216,5,7
rob-M3-F3-s2026,M3,F3,0.01,2641,79,26.41,0.029912911775842484,69.00637234382349,9.814580894335627e-17,4.260732062394709,0.03900310986953959,73.2671044062182,1.2309783808672167e-16,32.79418761915411,1.1486523871268112e-05,0.0004250690394055026,0.0,73,3,2026
rob-M3-F3-s2026,M3,F3,0.05,2641,150,132.05,0.05679666792881484,2.46512521658142,0.11639842612504298,4.62508092593248,0.031507774939481065,7.0902061425139,0.028865647137816895,27.774386870991727,0.00010361421516217515,0.0013122142337342645,0.0,135,3,2026
rob-M3-F3-s2026,M3,F3,0.1,2641,257,264.1,0.09731162438470277,0.21379572537231084,0.6438084817138828,2.8970331254565735,0.08874275122979267,3.1108288508288844,0.21110187852676118,37.86105299083484,1.195848864422448e-06,0.0021721599697512688,0.0,224,6,2026
rob-M5-F3-s7,M5,F3,0.01,2641,103,26.41,0.03900037864445286,129.44897856828737,5.408909453969333e-30,37.79729121698381,7.849068514778531e-10,167.24626978527118,4.818745132171536e-37,244.4806146924144,6.197452352319397e-50,0.000720349745018151,0.0,83,5,7
rob-M5-F3-s7,M5,F3,0.05,2641,173,132.05,0.06550549034456646,12.230425174183978,0.0004701648314699523,12.78093131614628,0.00035017055177659324,25.011356490330257,3.705552286418545e-06,87.62151822041481,9.444520307733028e-17,0.001506092587152988,0.0,149,5,7
rob-M5-F3-s7,M5,F3,0.1,2641,312,264.1,0.11813706929193488,9.177275523364173,0.0024503851582460077,6.402812718509267,0.011393970845533773,15.58008824187344,0.0004138346248046649,35.9727160741116,2.7904894524015322e-06,0.0022416701024206486,0.0,261,7,7
rob-M5-F3-s2026,M5,F3,0.01,2641,99,26.41,0.03748580083301779,118.48693257198619,1.3564484598739051e-27,29.119486921486782,6.804906835899694e-08,147.60641949347297,8.864888146930318e-33,186.8749931734689,1.1746769835706205e-37,0.0007156357102297928,0.0,82,5,2026
rob-M5-F3-s2026,M5,F3,0.05,2641,181,132.05,0.06853464596743658,17.205828296000206,3.3540576465551564e-05,19.549277773633776,9.803779317802256e-06,36.75510606963398,1.044071223770028e-08,96.6268725040844,1.2671275172573575e-18,0.0015311295137980826,0.0,152,7,2026
rob-M5-F3-s2026,M5,F3,0.1,2641,323,264.1,0.1223021582733813,13.727389511215193,0.0002113497118416177,7.2391765443967415,0.007132968659314037,20.966566055611935,2.8000644566945824e-05,60.567109660315836,3.451953851096149e-11,0.002293307976596619,0.0,268,7,2026
primary-M3-F3-s42,M3,F3,0.01,2641,87,26.41,0.03294206739871261,87.67185270846959,7.726615530366606e-21,6.802771514378492,0.009101648001856555,94.47462422284808,3.0555965434029015e-21,22.86303235607726,0.0008436745474912544,0.00046833457252462097,0.0,79,3,42
primary-M3-F3-s42,M3,F3,0.05,2641,145,132.05,0.05490344566452102,1.2973570725008123,0.2546965496055158,10.83372360437852,0.000996679999069079,12.131080676879332,0.002321503278110358,36.64308549118384,2.0666667815370173e-06,0.0013453079227937535,0.0,127,3,42
primary-M3-F3-s42,M3,F3,0.1,2641,254,264.1,0.09617569102612647,0.4341320249771776,0.5099683606355128,8.146186901724604,0.004315180194890601,8.580318926701782,0.013702740038292312,34.62859326902941,5.085572889023812e-06,0.002230782327197382,0.0,216,6,42
primary-M5-F3-s42,M5,F3,0.01,2641,85,26.41,0.03218477849299508,82.85730417381552,8.819574996499848e-20,15.824488124752975,6.949722028757143e-05,98.6817922985685,3.728387731272168e-22,122.16202570952194,5.726027516283417e-24,0.0006318256857964194,0.0,74,2,42
primary-M5-F3-s42,M5,F3,0.05,2641,177,132.05,0.06702006815600152,14.621230049651743,0.0001314256134294257,5.456119599565227,0.019499904625404896,20.07734964921697,4.3677615220930815e-05,38.2094208829384,1.0222766838471343e-06,0.0014623586821163616,0.0,157,3,42
primary-M5-F3-s42,M5,F3,0.1,2641,308,264.1,0.11662249148049982,7.73937615401104,0.0054029463579687706,3.3918857265375664,0.06551797791274411,11.131261880548607,0.003827165070735266,27.453501723332728,0.00011905005982877484,0.0022204623598868337,0.0,262,3,42
