tail,model_a,model_b,n,dm_stat,dm_pvalue,bootstrap_pvalue,pinball_a,pinball_b,favors,headline,holm_dm_pvalue
0.05,M0,M1,2641,4.563573308562071,5.029023810039359e-06,0.077,0.001686188776916906,0.0012931709671386393,b,0,
0.05,M0,M2,2641,4.790528462834983,1.663426240039864e-06,0.04,0.001686188776916906,0.0013325530709867633,b,0,
0.05,M0,M3,2641,3.6165396464060895,0.0002985676059581045,0.117,0.001686188776916906,0.0013453079227937535,b,0,
0.05,M0,M4,2641,4.828041585139719,1.3788230495187106e-06,0.052,0.001686188776916906,0.0012563648518895973,b,0,
0.05,M0,M5,2641,7.129483489393169,1.0074626197224566e-12,0.001,0.001686188776916906,0.0014623586821163616,b,0,
0.05,M1,M2,2641,-1.0079180105329164,0.3134938245419995,0.46,0.0012931709671386393,0.0013325530709867633,a,0,
0.05,M1,M3,2641,-1.6012784885680806,0.10931525132639283,0.103,0.0012931709671386393,0.0013453079227937535,a,1,0.32794575397917847
0.05,M1,M4,2641,3.1607393335059704,0.0015736926070119076,0.001,0.0012931709671386393,0.0012563648518895973,b,1,0.00629477042804763
0.05,M1,M5,2641,-2.323826453546336,0.02013479732645675,0.289,0.0012931709671386393,0.0014623586821163616,a,0,
0.05,M2,M3,2641,-0.2806111618551135,0.7790086539685788,0.811,0.0013325530709867633,0.0013453079227937535,a,1,0.7790086539685788
0.05,M2,M4,2641,1.9230023683467512,0.05447975242494454,0.227,0.0013325530709867633,0.0012563648518895973,b,0,
0.05,M2,M5,2641,-2.2333369465752475,0.025526732821371988,0.245,0.0013325530709867633,0.0014623586821163616,a,0,
0.05,M3,M4,2641,2.6703211030418053,0.007577874038538338,0.01,0.0013453079227937535,0.0012563648518895973,b,0,
0.05,M3,M5,2641,-1.48992015024125,0.13624523262727373,0.452,0.0013453079227937535,0.0014623586821163616,a,1,0.32794575397917847
0.05,M4,M5,2641,-2.7446642781544512,0.006057282895716332,0.222,0.0012563648518895973,0.0014623586821163616,a,0,
0.1,M0,M1,2641,4.801263683447111,1.5766749528776723e-06,0.051,0.0024387792183973656,0.0020712593426411765,b,0,
0.1,M0,M2,2641,4.915422704722027,8.859109947351696e-07,0.03,0.0024387792183973656,0.0020782834574220375,b,0,
0.1,M0,M3,2641,2.261685689578094,0.023716829508240268,0.192,0.0024387792183973656,0.002230782327197382,b,0,
0.1,M0,M4,2641,5.033688367613954,4.81131587397671e-07,0.029,0.0024387792183973656,0.0020410209663234095,b,0,
0.1,M0,M5,2641,5.582320229646041,2.3733087357358174e-08,0.001,0.0024387792183973656,0.0022204623598868337,b,0,
0.1,M1,M2,2641,-0.19403205047918862,0.8461507861239586,0.853,0.0020712593426411765,0.0020782834574220375,a,0,
0.1,M1,M3,2641,-3.4865934298467725,0.0004892144680030106,0.002,0.0020712593426411765,0.002230782327197382,a,1,0.0014851752890360174
0.1,M1,M4,2641,2.7657126442740014,0.005679856036509582,0.003,0.0020712593426411765,0.0020410209663234095,b,1,0.011359712073019165
0.1,M1,M5,2641,-2.342338197120853,0.019163341189650473,0.275,0.0020712593426411765,0.0022204623598868337,a,0,
0.1,M2,M3,2641,-3.559689294018347,0.00037129382225900434,0.005,0.0020782834574220375,0.002230782327197382,a,1,0.0014851752890360174
0.1,M2,M4,2641,1.0913118297180564,0.27513569417200223,0.307,0.0020782834574220375,0.0020410209663234095,b,0,
0.1,M2,M5,2641,-2.6402538376592046,0.008284395158277814,0.194,0.0020782834574220375,0.0022204623598868337,a,0,
0.1,M3,M4,2641,4.346241167513955,1.384902979821907e-05,0.001,0.002230782327197382,0.0020410209663234095,b,0,
0.1,M3,M5,2641,0.13892583651995322,0.8895087543486269,0.933,0.002230782327197382,0.0022204623598868337,b,1,0.8895087543486269
0.1,M4,M5,2641,-2.787660980403003,0.0053090069853935105,0.206,0.0020410209663234095,0.0022204623598868337,a,0,
